Año;Proceso;Órgano;Sexo;Grupo de edad;Cantidad;Tipo de donante
2015;Donación;Riñón;Hombre;No aplica;39;Donante vivo 
2015;Donación;Riñón;Mujer;No aplica;32;Donante vivo 
2015;Donación;Riñón;Hombre;No aplica;70;Donante cadaverico
2015;Donación;Riñón;Mujer;No aplica;48;Donante cadaverico
2015;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2015;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2015;Donación;Corazón;Hombre;No aplica;7;Donante cadaverico
2015;Donación;Corazón;Mujer;No aplica;4;Donante cadaverico
2015;Donación;Hígado;Hombre;No aplica;6;Donante vivo 
2015;Donación;Hígado;Mujer;No aplica;5;Donante vivo 
2015;Donación;Hígado;Hombre;No aplica;48;Donante cadaverico
2015;Donación;Hígado;Mujer;No aplica;36;Donante cadaverico
2015;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2015;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2015;Donación;Pulmón;Hombre;No aplica;8;Donante cadaverico
2015;Donación;Pulmón;Mujer;No aplica;6;Donante cadaverico
2016;Donación;Riñón;Hombre;No aplica;41;Donante vivo 
2016;Donación;Riñón;Mujer;No aplica;42;Donante vivo 
2016;Donación;Riñón;Hombre;No aplica;102;Donante cadaverico
2016;Donación;Riñón;Mujer;No aplica;68;Donante cadaverico
2016;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2016;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2016;Donación;Corazón;Hombre;No aplica;8;Donante cadaverico
2016;Donación;Corazón;Mujer;No aplica;4;Donante cadaverico
2016;Donación;Hígado;Hombre;No aplica;6;Donante vivo 
2016;Donación;Hígado;Mujer;No aplica;10;Donante vivo 
2016;Donación;Hígado;Hombre;No aplica;37;Donante cadaverico
2016;Donación;Hígado;Mujer;No aplica;27;Donante cadaverico
2016;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2016;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2016;Donación;Pulmón;Hombre;No aplica;3;Donante cadaverico
